,precision,recall,f1-score,support
0,0.6153846153846154,0.6666666666666666,0.64,12.0
1,0.3333333333333333,0.25,0.28571428571428575,4.0
2,0.0,0.0,0.0,2.0
3,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,3.0
5,0.2,0.16666666666666666,0.1818181818181818,6.0
6,0.0,0.0,0.0,0.0
7,0.6666666666666666,1.0,0.8,2.0
8,0.0,0.0,0.0,0.0
9,0.5454545454545454,0.6666666666666666,0.6,9.0
micro avg,0.46153846153846156,0.46153846153846156,0.46153846153846156,39.0
macro avg,0.2360839160839161,0.275,0.2507532467532468,39.0
weighted avg,0.41436853744546054,0.46153846153846156,0.43368631368631366,39.0
samples avg,0.46153846153846156,0.46153846153846156,0.46153846153846156,39.0
