,precision,recall,f1-score,support
1,0.46153846153846156,1.0,0.631578947368421,12.0
2,0.5,0.25,0.3333333333333333,4.0
3,0.0,0.0,0.0,2.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,3.0
6,1.0,0.16666666666666666,0.2857142857142857,6.0
8,0.0,0.0,0.0,2.0
10,0.5,0.5555555555555556,0.5263157894736842,9.0
accuracy,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717
macro avg,0.3076923076923077,0.2465277777777778,0.22211779448621552,39.0
weighted avg,0.46252465483234717,0.48717948717948717,0.3939335518282886,39.0
